condition,param,attack_id,eer_pct
noise,snr_db=5,A08,16.92913385826772
noise,snr_db=5,A09,11.143695014662756
noise,snr_db=5,A10,39.76377952755905
noise,snr_db=5,A11,33.46456692913385
noise,snr_db=5,A12,27.952755905511808
noise,snr_db=5,A13,5.459770114942529
noise,snr_db=5,A14,17.51968503937008
noise,snr_db=5,A15,25.79710144927536
noise,snr_db=5,A16,13.142857142857142
noise,snr_db=5,A17,11.594202898550725
noise,snr_db=5,A18,17.251461988304094
noise,snr_db=5,A19,7.848837209302325
noise,snr_db=0,A07,29.169728141072742
noise,snr_db=0,A08,21.26436781609195
noise,snr_db=0,A09,15.249266862170089
noise,snr_db=0,A10,40.51724137931034
noise,snr_db=0,A11,36.99421965317919
noise,snr_db=0,A12,30.511811023622048
noise,snr_db=0,A13,12.598425196850393
noise,snr_db=0,A14,24.92753623188406
noise,snr_db=0,A15,28.115942028985508
noise,snr_db=0,A16,19.93006993006993
noise,snr_db=0,A17,23.818897637795278
noise,snr_db=0,A18,30.116959064327485
noise,snr_db=0,A19,21.22093023255814
streaming,chunk_ms=None,A07,8.464566929133854
streaming,chunk_ms=None,A08,3.1609195402298855
streaming,chunk_ms=None,A09,0.5865102639296188
streaming,chunk_ms=None,A10,29.597701149425287
streaming,chunk_ms=None,A11,12.007874015748033
streaming,chunk_ms=None,A12,15.072463768115943
streaming,chunk_ms=None,A13,0.5747126436781609
streaming,chunk_ms=None,A14,2.952755905511806
streaming,chunk_ms=None,A15,14.202898550724639
streaming,chunk_ms=None,A16,5.142857142857142
streaming,chunk_ms=None,A17,1.1811023622047223
streaming,chunk_ms=None,A18,2.952755905511806
streaming,chunk_ms=None,A19,1.4534883720930232
streaming,"chunk_ms=4000,overlap_ms=0",A07,8.661417322834641
streaming,"chunk_ms=4000,overlap_ms=0",A08,3.1609195402298855
streaming,"chunk_ms=4000,overlap_ms=0",A09,0.5865102639296188
streaming,"chunk_ms=4000,overlap_ms=0",A10,29.597701149425287
streaming,"chunk_ms=4000,overlap_ms=0",A11,12.204724409448819
streaming,"chunk_ms=4000,overlap_ms=0",A12,15.072463768115943
streaming,"chunk_ms=4000,overlap_ms=0",A13,0.5747126436781609
streaming,"chunk_ms=4000,overlap_ms=0",A14,3.149606299212604
streaming,"chunk_ms=4000,overlap_ms=0",A15,14.370078740157478
streaming,"chunk_ms=4000,overlap_ms=0",A16,5.142857142857142
streaming,"chunk_ms=4000,overlap_ms=0",A17,1.1811023622047223
streaming,"chunk_ms=4000,overlap_ms=0",A18,2.923976608187134
streaming,"chunk_ms=4000,overlap_ms=0",A19,1.4534883720930232
streaming,"chunk_ms=2000,overlap_ms=0",A07,12.598425196850393
streaming,"chunk_ms=2000,overlap_ms=0",A08,3.346456692913391
streaming,"chunk_ms=2000,overlap_ms=0",A09,0.5865102639296188
streaming,"chunk_ms=2000,overlap_ms=0",A10,39.94252873563218
streaming,"chunk_ms=2000,overlap_ms=0",A11,16.732283464566933
streaming,"chunk_ms=2000,overlap_ms=0",A12,20.579710144927535
streaming,"chunk_ms=2000,overlap_ms=0",A13,0.5747126436781609
streaming,"chunk_ms=2000,overlap_ms=0",A14,3.346456692913391
streaming,"chunk_ms=2000,overlap_ms=0",A15,19.130434782608695
streaming,"chunk_ms=2000,overlap_ms=0",A16,6.857142857142858
streaming,"chunk_ms=2000,overlap_ms=0",A17,4.527559055118113
streaming,"chunk_ms=2000,overlap_ms=0",A18,4.7244094488189
streaming,"chunk_ms=2000,overlap_ms=0",A19,4.330708661417326
streaming,"chunk_ms=2000,overlap_ms=200",A07,12.401574803149607
streaming,"chunk_ms=2000,overlap_ms=200",A08,3.346456692913391
streaming,"chunk_ms=2000,overlap_ms=200",A09,0.5865102639296188
streaming,"chunk_ms=2000,overlap_ms=200",A10,39.6551724137931
streaming,"chunk_ms=2000,overlap_ms=200",A11,16.732283464566933
streaming,"chunk_ms=2000,overlap_ms=200",A12,20.869565217391305
streaming,"chunk_ms=2000,overlap_ms=200",A13,0.5747126436781609
streaming,"chunk_ms=2000,overlap_ms=200",A14,3.346456692913391
streaming,"chunk_ms=2000,overlap_ms=200",A15,18.700787401574804
streaming,"chunk_ms=2000,overlap_ms=200",A16,6.857142857142858
streaming,"chunk_ms=2000,overlap_ms=200",A17,4.527559055118113
streaming,"chunk_ms=2000,overlap_ms=200",A18,4.527559055118113
streaming,"chunk_ms=2000,overlap_ms=200",A19,4.330708661417326
streaming,"chunk_ms=500,overlap_ms=0",A07,13.623188405797102
streaming,"chunk_ms=500,overlap_ms=0",A08,2.586206896551724
streaming,"chunk_ms=500,overlap_ms=0",A09,0.5905511811023612
streaming,"chunk_ms=500,overlap_ms=0",A10,33.90804597701149
streaming,"chunk_ms=500,overlap_ms=0",A11,9.842519685039374
streaming,"chunk_ms=500,overlap_ms=0",A12,21.850393700787397
streaming,"chunk_ms=500,overlap_ms=0",A13,0.3937007874015741
streaming,"chunk_ms=500,overlap_ms=0",A14,4.133858267716539
streaming,"chunk_ms=500,overlap_ms=0",A15,19.488188976377952
streaming,"chunk_ms=500,overlap_ms=0",A16,8.571428571428571
streaming,"chunk_ms=500,overlap_ms=0",A17,3.543307086614178
streaming,"chunk_ms=500,overlap_ms=0",A18,5.263157894736842
streaming,"chunk_ms=500,overlap_ms=0",A19,3.488372093023256
