layer,sel_mean,sel_std,sel_min,sel_max,rho_vs_gap,p
0,0.4648850879981834,0.03264846729418209,0.39764820884365476,0.4991183179038967,0.0577717190274766,0.8512959565433289
1,0.47844040190155623,0.024601809464719834,0.4309588612245159,0.5054895013911408,0.04401654783045836,0.8864638634773432
2,0.4855678064158836,0.0155382320104261,0.4541460815654364,0.5096618357487923,-0.016506205436421884,0.9573175528802488
3,0.4855706861480064,0.012394773801448575,0.4595129025869063,0.5024154589371981,0.060522753266880246,0.844290679129877
4,0.487346582787309,0.012633704324810674,0.46105072463768115,0.5048973491596442,-0.07702895870330212,0.8024963301841426
5,0.4916118363439592,0.013866716937674066,0.45919504980226034,0.5080629016112886,0.2255848076310991,0.4586707939392744
6,0.49152074832800297,0.011574202756023748,0.46157016081114755,0.5133959847074601,0.17606619132183343,0.5650364026691792
7,0.4907247782488134,0.012220997671926746,0.4553140096618357,0.5057864115241165,0.2916096293767866,0.33369032627489553
8,0.4951941320113129,0.012277525036441812,0.4698067632850241,0.5192174249551298,0.07152689022449482,0.8163794952824596
9,0.4969425890249109,0.010858076993479193,0.4737891246430146,0.5119894087636022,0.17331515708242978,0.5712266182488058
10,0.4887501740356722,0.01031537057701191,0.46678743961352653,0.5042263239606694,-0.3108668690526121,0.30122346485635293
11,0.4893672344415887,0.008983988808678461,0.47493961352657005,0.5012142577359969,-0.008253102718210942,0.9786522347721123
12,0.4856612627738107,0.010658801851941374,0.46549556505900047,0.5039251207729468,-0.2255848076310991,0.4586707939392744
13,0.48615916571250684,0.011951060677187307,0.4643719806763286,0.5042071569585801,0.09628619837912766,0.7543476386857775
14,0.4868077710732125,0.011653686844978237,0.4685247881523718,0.5042270531400965,-0.3933978962347216,0.18355527592859242
15,0.48508404397835103,0.013227280856097418,0.46316425120772947,0.5117753623188405,-0.01100413695761459,0.9715385747062458
16,0.48892941817430596,0.011824934775789065,0.46105072463768115,0.503886109673586,-0.07977999294270577,0.7955744588596174
17,0.4898876455344011,0.011927913710831977,0.47004269950634886,0.5123792270531401,0.0,1.0
18,0.48916787130490685,0.011667680634851517,0.46618357487922707,0.5057367149758453,0.0,1.0
19,0.4908267713414246,0.0068985232142149844,0.4722662880271576,0.5017489889406397,0.3438792799254559,0.249951772636345
20,0.4877643170256415,0.007044912012141539,0.4791666666666667,0.5021135265700483,0.22008273915229176,0.46998875742238644
21,0.48806318304223023,0.007828098590684434,0.46890096618357485,0.4987339618487159,0.046767582069862,0.8794129823285038
22,0.48368200968424485,0.009788726440387275,0.46782499249292414,0.4975845410628019,-0.4731778891774273,0.10244230662768163
23,0.48277804982324085,0.009109451409073049,0.46769323671497576,0.5018115942028986,0.39614893047412525,0.18023500576649443
24,0.4844503869777831,0.01142926099908304,0.46516516516516515,0.5063405797101449,0.4126551359105471,0.16111679314881547
