condition,param,attack_id,eer_pct
noise,snr_db=5,A08,16.728620675333307
noise,snr_db=5,A09,9.659206510681585
noise,snr_db=5,A10,39.816614778977936
noise,snr_db=5,A11,33.796643494136646
noise,snr_db=5,A12,27.582652962962
noise,snr_db=5,A13,4.92197728318177
noise,snr_db=5,A14,20.489623366641048
noise,snr_db=5,A15,23.375882619042937
noise,snr_db=5,A16,14.10317020788027
noise,snr_db=5,A17,9.970413543033835
noise,snr_db=5,A18,15.212388732571153
noise,snr_db=5,A19,8.26214520756674
noise,snr_db=0,A07,28.641401672088417
noise,snr_db=0,A08,22.13929468359803
noise,snr_db=0,A09,15.008423508067128
noise,snr_db=0,A10,37.59020078949829
noise,snr_db=0,A11,35.773509191230715
noise,snr_db=0,A12,29.84053381587876
noise,snr_db=0,A13,12.622970640931225
noise,snr_db=0,A14,27.21015504072674
noise,snr_db=0,A15,26.47904013372183
noise,snr_db=0,A16,20.547717228499046
noise,snr_db=0,A17,21.40776885541937
noise,snr_db=0,A18,28.13187790400391
noise,snr_db=0,A19,20.348605135938264
streaming,chunk_ms=None,A07,8.369620477000952
streaming,chunk_ms=None,A08,3.0758226037196024
streaming,chunk_ms=None,A09,0.5305197901764425
streaming,chunk_ms=None,A10,27.524338787977126
streaming,chunk_ms=None,A11,11.505387417772688
streaming,chunk_ms=None,A12,15.030707515353757
streaming,chunk_ms=None,A13,0.43535045711798
streaming,chunk_ms=None,A14,3.4930853600381506
streaming,chunk_ms=None,A15,11.718721349550759
streaming,chunk_ms=None,A16,5.47674985593333
streaming,chunk_ms=None,A17,1.2244028817830133
streaming,chunk_ms=None,A18,2.827512852331147
streaming,chunk_ms=None,A19,1.425679838070932
streaming,"chunk_ms=4000,overlap_ms=0",A07,8.415595483275336
streaming,"chunk_ms=4000,overlap_ms=0",A08,3.0758226037196024
streaming,"chunk_ms=4000,overlap_ms=0",A09,0.5305197901764425
streaming,"chunk_ms=4000,overlap_ms=0",A10,27.748184696238003
streaming,"chunk_ms=4000,overlap_ms=0",A11,11.585007687922186
streaming,"chunk_ms=4000,overlap_ms=0",A12,15.116744285341536
streaming,"chunk_ms=4000,overlap_ms=0",A13,0.43535045711798
streaming,"chunk_ms=4000,overlap_ms=0",A14,3.5141275024847354
streaming,"chunk_ms=4000,overlap_ms=0",A15,11.811292881763965
streaming,"chunk_ms=4000,overlap_ms=0",A16,5.531711969480213
streaming,"chunk_ms=4000,overlap_ms=0",A17,1.2398664759179834
streaming,"chunk_ms=4000,overlap_ms=0",A18,2.601753510585215
streaming,"chunk_ms=4000,overlap_ms=0",A19,1.4246542680019125
streaming,"chunk_ms=2000,overlap_ms=0",A07,10.785174776040751
streaming,"chunk_ms=2000,overlap_ms=0",A08,3.6659513590844073
streaming,"chunk_ms=2000,overlap_ms=0",A09,0.5098402738163135
streaming,"chunk_ms=2000,overlap_ms=0",A10,38.28171462347623
streaming,"chunk_ms=2000,overlap_ms=0",A11,15.267309377738824
streaming,"chunk_ms=2000,overlap_ms=0",A12,20.092376653073842
streaming,"chunk_ms=2000,overlap_ms=0",A13,0.43514544587506254
streaming,"chunk_ms=2000,overlap_ms=0",A14,4.005722460658079
streaming,"chunk_ms=2000,overlap_ms=0",A15,15.22451498504972
streaming,"chunk_ms=2000,overlap_ms=0",A16,7.035495025051159
streaming,"chunk_ms=2000,overlap_ms=0",A17,4.542203147353363
streaming,"chunk_ms=2000,overlap_ms=0",A18,4.48356974837836
streaming,"chunk_ms=2000,overlap_ms=0",A19,4.399141630901282
streaming,"chunk_ms=2000,overlap_ms=200",A07,10.802817592774398
streaming,"chunk_ms=2000,overlap_ms=200",A08,3.628728059146005
streaming,"chunk_ms=2000,overlap_ms=200",A09,0.5162767039674467
streaming,"chunk_ms=2000,overlap_ms=200",A10,38.35115148746589
streaming,"chunk_ms=2000,overlap_ms=200",A11,15.276073619631902
streaming,"chunk_ms=2000,overlap_ms=200",A12,20.16817182658439
streaming,"chunk_ms=2000,overlap_ms=200",A13,0.43514544587506254
streaming,"chunk_ms=2000,overlap_ms=200",A14,3.981878874582734
streaming,"chunk_ms=2000,overlap_ms=200",A15,15.244260197947426
streaming,"chunk_ms=2000,overlap_ms=200",A16,7.018642878620826
streaming,"chunk_ms=2000,overlap_ms=200",A17,4.490834137356372
streaming,"chunk_ms=2000,overlap_ms=200",A18,4.303767286599902
streaming,"chunk_ms=2000,overlap_ms=200",A19,4.285884597043399
streaming,"chunk_ms=500,overlap_ms=0",A07,12.000979126796919
streaming,"chunk_ms=500,overlap_ms=0",A08,2.8314258464473108
streaming,"chunk_ms=500,overlap_ms=0",A09,0.4828326180257525
streaming,"chunk_ms=500,overlap_ms=0",A10,35.35652870510076
streaming,"chunk_ms=500,overlap_ms=0",A11,8.992112182296232
streaming,"chunk_ms=500,overlap_ms=0",A12,22.061278016213638
streaming,"chunk_ms=500,overlap_ms=0",A13,0.5007153075822557
streaming,"chunk_ms=500,overlap_ms=0",A14,4.780639008106824
streaming,"chunk_ms=500,overlap_ms=0",A15,17.190517998244072
streaming,"chunk_ms=500,overlap_ms=0",A16,9.185741535526947
streaming,"chunk_ms=500,overlap_ms=0",A17,3.552694325226513
streaming,"chunk_ms=500,overlap_ms=0",A18,5.4777521716007795
streaming,"chunk_ms=500,overlap_ms=0",A19,3.809012875536477
