family,gap_pct,d_bona,cos_bona,d_near_spoof,d_mean_spoof,rel,bona_axis_proj,knn_bona_frac
A19,4.605067064083459,42.14362335205078,1.1720960140228271,12.048626899719238,31.247467041015625,3.4977947033145185,0.7446330785751343,0.00909090909090909
A10,3.909394326101896,25.011547088623047,0.3868299722671509,16.499568939208984,32.7519416809082,1.5158909411982577,21.455284118652344,0.03597122302158273
A16,3.1381733021077296,37.27871322631836,1.156706839799881,16.401058197021484,26.69309425354004,2.272945609880731,1.6231658458709717,0.0
A18,2.74090363854458,43.18963623046875,1.3548945188522339,11.458438873291016,28.71464729309082,3.769242626161003,-3.430161237716675,0.016483516483516484
A11,2.25162946869445,31.121782302856445,0.756037175655365,12.819328308105469,25.80864715576172,2.427723321757709,8.87617301940918,0.0
A12,1.026328862394435,27.926992416381836,0.5900762975215912,10.634537696838379,23.759950637817383,2.6260654870483426,9.786951065063477,0.0018148820326678765
A17,0.8231495280675587,46.37646484375,1.3348070085048676,11.458438873291016,31.805084228515625,4.047363288890161,-4.075430393218994,0.0
A08,0.5168351820948278,37.05653762817383,1.3817090094089508,12.598931312561035,23.039794921875,2.9412445158129206,-0.964667797088623,0.0
A07,0.0427223050173849,32.9233512878418,0.962883111089468,10.422406196594238,23.168975830078125,3.158901185275264,4.747541904449463,0.0
A15,0.0,28.006744384765625,0.5941998362541199,10.422406196594238,23.802101135253906,2.6871668457824525,10.12393569946289,0.0
A14,0.0,35.8521614074707,1.216047927737236,12.598931312561035,23.667150497436523,2.845650993566921,1.1055984497070312,0.0
A13,-0.081967213114753,58.48747634887695,1.7804986834526062,23.199235916137695,35.77769088745117,2.5210949429671645,-21.673870086669922,0.0
A09,-0.1219512195121951,53.742252349853516,1.8044125437736511,22.825712203979492,31.348386764526367,2.3544611388066112,-18.173500061035156,0.0
