family,gap_pct,gap_std,eer_seen_pct,eer_loao_pct,probe_selectivity
A19,14.810606060606059,2.4357562751170887,1.6742424242424245,16.484848484848484,0.12469003671108196
A10,1.6771457085828387,0.2955581282133158,0.7395209580838306,2.416666666666669,0.12766751548340452
A18,1.2906504065040665,0.6328208865388514,0.9552845528455277,2.2459349593495945,0.12833563201035994
A08,1.1071428571428596,0.5026150436329664,0.6666666666666643,1.7738095238095237,0.1304770504924976
A16,0.8928571428571457,0.4629865829197621,0.9047619047619024,1.7976190476190481,0.12380039546923513
A17,0.5742971887550212,0.21643475348494223,0.6666666666666643,1.2409638554216855,0.1279169146818195
A11,0.25000000000000133,0.22821773229382042,0.6666666666666643,0.9166666666666657,0.12766677990675598
A12,0.17570281124498063,0.24112068189804992,0.6576305220883519,0.8333333333333325,0.12380122783228471
A15,0.07429718875502068,0.16613356459335923,0.5833333333333313,0.6576305220883519,0.12304942978291769
A14,0.0,0.0,0.5833333333333313,0.5833333333333313,0.12989280906075568
A09,0.0,0.0,0.5833333333333313,0.5833333333333313,0.12672183491530703
A07,-0.046184738955822695,0.1032722158283022,0.4999999999999982,0.4538152610441755,0.12716633614110667
A13,-0.08333333333333304,0.1863389981249818,0.08333333333333304,0.0,0.1293925007960681
