family,gap_pct,gap_std,eer_seen_pct,eer_loao_pct,probe_selectivity
A18,0.4349593495934963,0.5679430633031836,2.315040650406505,2.7500000000000013,0.028989288648987532
A19,0.12878787878787792,0.26730725400571786,1.8409090909090906,1.9696969696969684,0.02392428206267303
A11,0.08333333333333304,0.1863389981249818,0.8333333333333304,0.9166666666666634,0.02542743294396186
A15,0.03714859437751034,0.23454038756705797,0.7499999999999973,0.7871485943775076,0.0017803858486667768
A07,0.0,0.0,0.6204819277108415,0.6204819277108415,0.01424467408631196
A16,0.0,0.0,0.6666666666666643,0.6666666666666643,0.03566648567609643
A10,0.0,0.0,0.5833333333333313,0.5833333333333313,0.030490813518737236
A09,0.0,0.0,0.5833333333333313,0.5833333333333313,0.038418723135724385
A13,0.0,0.0,0.4999999999999982,0.4999999999999982,0.055696644318686726
A14,0.0,0.0,0.4999999999999982,0.4999999999999982,0.025483298054690053
A17,-0.01807228915662471,0.31117614862689863,1.3242971887550186,1.3062248995983938,0.008652317114836095
A12,-0.046184738955822695,0.1032722158283022,0.6666666666666643,0.6204819277108415,0.007594248177753981
A08,-0.04761904761904925,0.29582794380450733,0.9047619047619045,0.8571428571428553,0.019391116750532112
