family,gap_pct,d_bona,cos_bona,d_near_spoof,d_mean_spoof,rel,bona_axis_proj,knn_bona_frac
A19,15.901515151515152,10.59920597076416,0.10050994157791138,14.506781578063965,33.71713638305664,0.7306380063508684,26.31981658935547,0.48
A18,1.924796747967484,24.79649543762207,0.42165786027908325,19.97214698791504,37.71608352661133,1.2415538225623013,22.964502334594727,0.014625228519195612
A08,1.0595238095238104,35.62839126586914,1.5315525531768799,17.10547637939453,25.716657638549805,2.082864602869964,-6.255918025970459,0.0
A16,0.5714285714285724,33.15403747558594,1.0572168417274952,21.281003952026367,31.23836326599121,1.557916983161362,3.152785301208496,0.005357142857142857
A10,0.2395209580838368,37.013790130615234,1.5706860423088074,12.44696044921875,25.809326171875,2.9737211973657756,-7.61672830581665,0.0
A17,0.1757028112449806,17.788591384887695,0.2667815089225769,14.506781578063965,34.3510627746582,1.226225906081486,23.63565444946289,0.041666666666666664
A15,0.083333333333333,33.7098388671875,1.517174780368805,13.19970989227295,24.151540756225586,2.553831799509555,-4.9527177810668945,0.0
A12,0.083333333333333,31.117904663085938,1.3200350403785706,18.658191680908203,25.16590118408203,1.667787811126788,-1.4744060039520264,0.0
A11,0.0742971887550207,36.8392448425293,1.5011027455329895,15.618659019470215,26.91868019104004,2.358668871418827,-6.501689434051514,0.0
A14,0.0090361445783123,35.03523635864258,1.4912006258964539,13.19970989227295,25.790069580078125,2.6542429071984412,-5.399929046630859,0.0
A07,-0.083333333333333,40.45085144042969,1.7131934762001038,12.44696044921875,26.713064193725586,3.249857795038518,-12.045770645141602,0.0
A09,-0.083333333333333,37.53187942504883,1.4876161515712738,17.10547637939453,27.7908935546875,2.1941440619718837,-6.648259162902832,0.0
A13,-0.2499999999999991,42.53230285644531,1.6579487919807434,22.931535720825195,30.3082218170166,1.8547516125498629,-12.604473114013672,0.0
