family,gap_pct,d_bona,cos_bona,d_near_spoof,d_mean_spoof,rel,bona_axis_proj,knn_bona_frac
A18,0.4349593495934963,34.389198303222656,1.4985134601593018,1.2791335582733154,4.761512279510498,26.884759672511567,1.8370935916900635,0.054844606946983544
A19,0.1287878787878779,34.91228485107422,1.591836392879486,1.2791335582733154,4.58478307723999,27.29369785138139,1.268259882926941,0.014545454545454545
A11,0.083333333333333,35.666419982910156,1.8195123672485352,1.1179568767547607,3.6561508178710938,31.903216237144786,0.3453160226345062,0.0036101083032490976
A15,0.0371485943775103,35.958885192871094,1.9535048604011536,0.8352595567703247,2.9911916255950928,43.051150868494496,-0.04186302423477173,0.0
A07,0.0,36.60240936279297,1.912786841392517,0.873613178730011,3.163769006729126,41.89773031583913,-0.6995810866355896,0.0
A16,0.0,36.684322357177734,1.934453547000885,0.7506828904151917,3.0306694507598877,48.86793455075042,-0.8044057488441467,0.0
A10,0.0,34.71468734741211,1.3177018463611603,4.670637130737305,6.758852481842041,7.4325378691819,1.886520504951477,0.0
A09,0.0,37.1998291015625,1.8441669344902039,0.7626661658287048,3.96268367767334,48.77603172698971,-1.2516484260559082,0.0
A13,0.0,37.374473571777344,1.8149439096450806,0.7626661658287048,4.3798747062683105,49.005023752648896,-1.391567349433899,0.0
A14,0.0,36.47938919067383,1.9159353375434875,0.873613178730011,3.084350347518921,41.756912646057664,-0.5720415115356445,0.0
A17,-0.0180722891566247,35.99209213256836,1.880982518196106,2.1810431480407715,3.4435436725616455,16.50223754853269,-0.03418496251106262,0.010869565217391304
A12,-0.0461847389558226,35.73277282714844,1.9060018658638,0.8352595567703247,3.2396202087402344,42.780441765090806,0.22424764931201935,0.0
A08,-0.0476190476190492,36.37922286987305,1.9574400186538696,0.7506828904151917,2.8381881713867188,48.461505296533716,-0.4948447644710541,0.0
