family,gap_pct,gap_std,eer_seen_pct,eer_loao_pct,probe_selectivity
A19,4.605067064083459,0.8486573047270938,1.6716343765524073,6.276701440635866,0.10595121951219522
A10,3.9093943261018964,1.302051834257867,3.8642387356434673,7.773633061745363,0.10469686411149817
A16,3.1381733021077296,1.230758289188526,1.7935206869633091,4.931693989071038,0.10790243902439031
A18,2.7409036385445797,0.7099765249756633,1.7532986805277893,4.49420231907237,0.10823693379790944
A11,2.25162946869445,1.4673902520862379,1.3835670551056685,3.6351965238001185,0.11172125435540073
A12,1.026328862394435,0.8981933384338895,1.7039244908097373,2.7302533532041724,0.10316376306620219
A17,0.8231495280675587,0.7714051316039146,1.1013412816691504,1.9244908097367088,0.10907317073170723
A08,0.5168351820948278,0.6525819276264058,1.2295081967213095,1.7463433788161375,0.1100487804878048
A07,0.04272230501738495,0.22211691414898097,0.5702930948832592,0.6130153999006441,0.10826480836236937
A15,0.0,0.0,0.97665176353701,0.97665176353701,0.10742857142857143
A14,0.0,0.0,0.449080973671138,0.449080973671138,0.10935191637630656
A13,-0.08196721311475308,0.18328426045080015,0.3214881711985854,0.23952095808383236,0.11021602787456437
A09,-0.12195121951219512,0.272691216768267,0.7756897241103552,0.6537385045981601,0.11041114982578397
