family,gap_pct_A,eer_loao_pct_A,gap_pct_B,eer_loao_pct_B,cos_bona_A,cos_bona_B,d_gap,d_cos
A19,14.81060606060606,16.484848484848484,1.659090909090913,2.4090909090909105,0.0805575847625732,1.0718015804886818,-13.151515151515147,0.9912439957261086
A10,1.6771457085828387,2.416666666666669,0.2500000000000013,0.9999999999999986,1.5447078943252563,0.4628643989562988,-1.4271457085828374,-1.0818434953689575
A18,1.2906504065040665,2.2459349593495945,1.701219512195125,2.4898373983739845,0.4085532426834106,1.237904727458954,0.41056910569105853,0.8293514847755434
A08,1.1071428571428596,1.7738095238095235,0.2619047619047631,0.9285714285714274,1.5471793413162231,1.4165734350681305,-0.8452380952380966,-0.13060590624809265
A16,0.8928571428571457,1.797619047619048,0.273809523809524,0.9404761904761884,1.247930034995079,1.1239893585443497,-0.6190476190476217,-0.12394067645072937
A17,0.5742971887550212,1.2409638554216855,0.083333333333333,0.8333333333333304,0.2738741636276245,1.2377735674381256,-0.49096385542168824,0.9638994038105011
A11,0.2500000000000013,0.9166666666666656,0.0,0.6666666666666643,1.4694940149784088,0.7817408889532089,-0.2500000000000013,-0.6877531260251999
A12,0.1757028112449806,0.8333333333333325,-3.4694469519536136e-17,0.6666666666666643,1.4032842516899109,0.6368813514709473,-0.17570281124498063,-0.7664029002189636
A15,0.0742971887550206,0.6576305220883519,0.083333333333333,0.7499999999999973,1.4871864020824432,0.6892921924591064,0.009036144578312394,-0.7978942096233368
A14,0.0,0.5833333333333313,-0.083333333333333,0.4999999999999982,1.4699997007846832,1.2589217126369476,-0.083333333333333,-0.2110779881477356
A09,0.0,0.5833333333333313,3.4694469519536136e-17,0.4999999999999982,1.4841974973678589,1.7941381335258484,3.4694469519536136e-17,0.3099406361579895
A07,-0.0461847389558226,0.4538152610441755,-0.0742971887550206,0.4166666666666652,1.7972002625465393,1.0392541252076626,-0.028112449799198004,-0.7579461373388767
A13,-0.083333333333333,0.0,-0.2409638554216867,0.2499999999999991,1.6881950497627258,1.7785342931747437,-0.1576305220883537,0.09033924341201782
