family,gap_pct,gap_std,eer_seen_pct,eer_loao_pct,probe_selectivity
A19,15.901515151515152,1.0137088346607426,1.242424242424241,17.143939393939394,0.16636465438060105
A18,1.9247967479674841,0.5860306325669558,0.8333333333333304,2.7581300813008145,0.16525313999281852
A08,1.0595238095238104,0.4482107285003997,0.7499999999999973,1.8095238095238078,0.1681736309321595
A16,0.5714285714285724,0.38483880655344177,0.8571428571428553,1.4285714285714277,0.1688408376669446
A10,0.2395209580838368,0.17798709408195873,0.8333333333333304,1.0728542914171673,0.1686746554162153
A17,0.17570281124498063,0.2207408721478006,0.824297188755018,0.9999999999999986,0.1669214084744237
A15,0.08333333333333304,0.3486083443891969,0.6666666666666643,0.7499999999999973,0.16884178617367537
A12,0.08333333333333304,0.3486083443891969,0.6666666666666643,0.7499999999999973,0.16736689692151513
A11,0.07429718875502071,0.338239437144829,0.6666666666666643,0.740963855421685,0.16964737810478675
A14,0.009036144578312356,0.2789286010744454,0.6576305220883519,0.6666666666666643,0.170288510583109
A07,-0.08333333333333304,0.18633899812498184,0.7499999999999973,0.6666666666666643,0.16897933900695214
A09,-0.08333333333333304,0.18633899812498184,0.5833333333333313,0.4999999999999982,0.16569740893125556
A13,-0.2499999999999991,0.22821773229381842,0.5833333333333313,0.33333333333333215,0.17028907194423554
