condition,param,eer,eer_pct,min_dcf,auc,threshold,delta_eer_pct
clean,—,0.09617097061442564,9.617097061442564,0.6400863126748515,0.9659127162199115,8.863331084790659,0.0
mp3,bitrate_kbps=128,0.09251968503937003,9.251968503937002,0.6214109422876013,0.9686371572208861,8.522999305424731,-0.36512855750556183
mp3,bitrate_kbps=64,0.09105075690115762,9.105075690115761,0.6259334179398546,0.9692931791250937,8.58056960696104,-0.5120213713268027
mp3,bitrate_kbps=32,0.08303650934995548,8.303650934995547,0.6597713520449302,0.9716714228619909,5.563959911903525,-1.3134461264470167
mp3,bitrate_kbps=16,0.10240427426536064,10.240427426536064,0.7493128641644639,0.9618341618695705,-2.0220256229648608,0.6233303650934996
mp3,bitrate_kbps=8,0.09817453250222619,9.817453250222618,0.8340900007712749,0.9454445698740017,-11.928139531177171,0.20035618878005423
noise,snr_db=30,0.11242208370436331,11.24220837043633,0.6452748893921653,0.9626466298791904,9.102629754125063,1.6251113089937665
noise,snr_db=20,0.1358267716535433,13.58267716535433,0.7106088864893669,0.9466150672060917,9.233469432420305,3.9655801039117646
noise,snr_db=10,0.1863312555654497,18.633125556544968,0.9641725271874408,0.9006462056779857,7.891498362710194,9.016028495102404
noise,snr_db=5,0.21282279608192342,21.282279608192344,0.9980314960629921,0.8766074070438435,6.618526692912712,11.665182546749778
noise,snr_db=0,0.25984251968503935,25.984251968503933,1.0,0.8220210820987092,5.236425524934384,16.36715490706137
streaming,chunk_ms=None,0.09617097061442564,9.617097061442564,0.6400863126748515,0.9659127162199115,8.863331084790659,0.0
streaming,"chunk_ms=4000,overlap_ms=0",0.09594835262689225,9.594835262689225,0.6483845296274743,0.9654819416495468,8.810700130377723,-0.022261798753339668
streaming,"chunk_ms=2000,overlap_ms=0",0.12911843276936777,12.911843276936777,0.964516095105209,0.9386161575083615,6.669638513987976,3.2947462154942126
streaming,"chunk_ms=2000,overlap_ms=200",0.12911843276936777,12.911843276936777,0.9512414020375681,0.9400710624662568,6.7487102157816965,3.2947462154942126
streaming,"chunk_ms=500,overlap_ms=0",0.12110418521816563,12.110418521816563,0.7152628294570925,0.9525175114464208,9.567560883791236,2.4933214603739984
